name,count,mean,abs_mean,p50,p90,p95,p99,positive_fraction,negative_fraction
0.1-8,670224,0.06422667217748676,0.36230387536626046,-0.0014220476150512695,0.5038419365882874,1.0446388721466064,3.1918773651123047,0.495086717276612,0.50490880660794
8-16,34465,0.2633476139723295,2.8923870839869252,-0.168212890625,4.6030426025390625,7.4313554763793945,15.775010108947754,0.47587407514870156,0.5241259248512984
16-32,15484,0.09345186628195334,5.579415676360351,-0.5149459838867188,9.592277526855469,14.325592994689941,22.635631561279297,0.46221906484112635,0.5377809351588737
ge32,6083,-0.8622108715332674,5.887843668666616,0.4859771728515625,8.221166610717773,10.878159523010254,14.679656982421875,0.5574552030248233,0.44205161926680914
