name,count,mean,abs_mean,p50,p90,p95,p99,positive_fraction,negative_fraction
0.1-8,1596,0.15888343180032602,0.5563457555938185,-0.007701452821493149,1.0060820579528809,1.9249942302703857,5.195047855377197,0.45864661654135336,0.5413533834586466
8-16,65,0.5967058108403133,3.7922459528996395,-0.40212106704711914,6.694945335388184,10.849989891052246,16.091373443603516,0.4153846153846154,0.5846153846153846
16-32,49,-0.6542196857685946,4.584581959004304,-1.5363712310791016,7.003467082977295,8.20438003540039,11.681777000427246,0.3877551020408163,0.6122448979591837
ge32,6,-0.33402252197265625,5.646419525146484,-2.361021041870117,7.968595504760742,10.429007530212402,12.397335052490234,0.3333333333333333,0.6666666666666666
